"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.10.5.11","10.10.5.10","TCP","5108","49205  >  1291 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=5054"
"2","0.000050395","10.10.5.10","10.10.5.11","TCP","54","1291  >  49205 [ACK] Seq=1 Ack=5055 Win=501 Len=0"
"3","0.000240086","10.10.5.10","10.10.5.11","TCP","69","1291  >  49205 [PSH, ACK] Seq=1 Ack=5055 Win=501 Len=15"
"4","0.186709976","10.10.5.11","10.10.5.10","TCP","60","49205  >  1291 [ACK] Seq=5055 Ack=16 Win=256 Len=0"
"5","1.119688950","10.10.5.14","10.10.5.10","TCP","4697","49195  >  1294 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=4643"
"6","1.119724644","10.10.5.10","10.10.5.14","TCP","54","1294  >  49195 [ACK] Seq=1 Ack=4644 Win=481 Len=0"
"7","1.119965444","10.10.5.10","10.10.5.14","TCP","69","1294  >  49195 [PSH, ACK] Seq=1 Ack=4644 Win=501 Len=15"
"8","1.317789115","10.10.5.14","10.10.5.10","TCP","60","49195  >  1294 [ACK] Seq=4644 Ack=16 Win=256 Len=0"
"9","1.334796997","10.10.5.12","10.10.5.10","TCP","4542","49204  >  1292 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=4488"
"10","1.334825765","10.10.5.10","10.10.5.12","TCP","54","1292  >  49204 [ACK] Seq=1 Ack=4489 Win=484 Len=0"
"11","1.335051219","10.10.5.10","10.10.5.12","TCP","69","1292  >  49204 [PSH, ACK] Seq=1 Ack=4489 Win=501 Len=15"
"12","1.527506460","10.10.5.12","10.10.5.10","TCP","60","49204  >  1292 [ACK] Seq=4489 Ack=16 Win=256 Len=0"
"13","4.526455302","PcsCompu_60:73:28","PcsCompu_df:63:fa","ARP","60","Who has 10.10.5.10? Tell 10.10.5.11"
"14","4.526469662","PcsCompu_df:63:fa","PcsCompu_60:73:28","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa"
"15","6.811953435","10.10.5.13","10.10.5.10","TCP","4626","49196  >  1293 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=4572"
"16","6.812012882","10.10.5.10","10.10.5.13","TCP","54","1293  >  49196 [ACK] Seq=1 Ack=4573 Win=484 Len=0"
"17","6.812207138","10.10.5.10","10.10.5.13","TCP","69","1293  >  49196 [PSH, ACK] Seq=1 Ack=4573 Win=501 Len=15"
"18","7.004026643","10.10.5.13","10.10.5.10","TCP","60","49196  >  1293 [ACK] Seq=4573 Ack=16 Win=256 Len=0"
"19","15.006738577","10.10.5.11","10.10.5.10","TCP","5104","49205  >  1291 [PSH, ACK] Seq=5055 Ack=16 Win=256 Len=5050"
"20","15.006798804","10.10.5.10","10.10.5.11","TCP","54","1291  >  49205 [ACK] Seq=16 Ack=10105 Win=501 Len=0"
"21","15.006993836","10.10.5.10","10.10.5.11","TCP","69","1291  >  49205 [PSH, ACK] Seq=16 Ack=10105 Win=501 Len=15"
"22","15.200425391","10.10.5.11","10.10.5.10","TCP","60","49205  >  1291 [ACK] Seq=10105 Ack=31 Win=256 Len=0"
"23","16.122161432","10.10.5.14","10.10.5.10","TCP","4697","49195  >  1294 [PSH, ACK] Seq=4644 Ack=16 Win=256 Len=4643"
"24","16.122193971","10.10.5.10","10.10.5.14","TCP","54","1294  >  49195 [ACK] Seq=16 Ack=9287 Win=481 Len=0"
"25","16.122490351","10.10.5.10","10.10.5.14","TCP","69","1294  >  49195 [PSH, ACK] Seq=16 Ack=9287 Win=501 Len=15"
"26","16.318209638","10.10.5.14","10.10.5.10","TCP","60","49195  >  1294 [ACK] Seq=9287 Ack=31 Win=256 Len=0"
"27","16.341954493","10.10.5.12","10.10.5.10","TCP","4542","49204  >  1292 [PSH, ACK] Seq=4489 Ack=16 Win=256 Len=4488"
"28","16.342057494","10.10.5.10","10.10.5.12","TCP","54","1292  >  49204 [ACK] Seq=16 Ack=8977 Win=501 Len=0"
"29","16.342347643","10.10.5.10","10.10.5.12","TCP","69","1292  >  49204 [PSH, ACK] Seq=16 Ack=8977 Win=501 Len=15"
"30","16.535030688","10.10.5.12","10.10.5.10","TCP","60","49204  >  1292 [ACK] Seq=8977 Ack=31 Win=256 Len=0"
"31","20.629913807","PcsCompu_90:18:5a","PcsCompu_df:63:fa","ARP","60","Who has 10.10.5.10? Tell 10.10.5.14"
"32","20.629928773","PcsCompu_df:63:fa","PcsCompu_90:18:5a","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa"
"33","21.283654043","PcsCompu_03:cb:a5","PcsCompu_df:63:fa","ARP","60","Who has 10.10.5.10? Tell 10.10.5.12"
"34","21.283668193","PcsCompu_df:63:fa","PcsCompu_03:cb:a5","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa"
"35","21.818494095","10.10.5.13","10.10.5.10","TCP","4626","49196  >  1293 [PSH, ACK] Seq=4573 Ack=16 Win=256 Len=4572"
"36","21.818613749","10.10.5.10","10.10.5.13","TCP","54","1293  >  49196 [ACK] Seq=16 Ack=9145 Win=501 Len=0"
"37","21.818839281","10.10.5.10","10.10.5.13","TCP","69","1293  >  49196 [PSH, ACK] Seq=16 Ack=9145 Win=501 Len=15"
"38","22.010105000","10.10.5.13","10.10.5.10","TCP","60","49196  >  1293 [ACK] Seq=9145 Ack=31 Win=256 Len=0"
"39","26.630139003","PcsCompu_c8:46:cd","PcsCompu_df:63:fa","ARP","60","Who has 10.10.5.10? Tell 10.10.5.13"
"40","26.630156025","PcsCompu_df:63:fa","PcsCompu_c8:46:cd","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa"
"41","30.014748199","10.10.5.11","10.10.5.10","TCP","5104","49205  >  1291 [PSH, ACK] Seq=10105 Ack=31 Win=256 Len=5050"
"42","30.014819455","10.10.5.10","10.10.5.11","TCP","54","1291  >  49205 [ACK] Seq=31 Ack=15155 Win=501 Len=0"
"43","30.015041271","10.10.5.10","10.10.5.11","TCP","69","1291  >  49205 [PSH, ACK] Seq=31 Ack=15155 Win=501 Len=15"
"44","30.214412599","10.10.5.11","10.10.5.10","TCP","60","49205  >  1291 [ACK] Seq=15155 Ack=46 Win=256 Len=0"
"45","31.120322334","10.10.5.14","10.10.5.10","TCP","4694","49195  >  1294 [PSH, ACK] Seq=9287 Ack=31 Win=256 Len=4640"
"46","31.120382602","10.10.5.10","10.10.5.14","TCP","54","1294  >  49195 [ACK] Seq=31 Ack=13927 Win=501 Len=0"
"47","31.120587086","10.10.5.10","10.10.5.14","TCP","69","1294  >  49195 [PSH, ACK] Seq=31 Ack=13927 Win=501 Len=15"
"48","31.317082487","10.10.5.14","10.10.5.10","TCP","60","49195  >  1294 [ACK] Seq=13927 Ack=46 Win=256 Len=0"
"49","31.350361790","10.10.5.12","10.10.5.10","TCP","4542","49204  >  1292 [PSH, ACK] Seq=8977 Ack=31 Win=256 Len=4488"
"50","31.350414291","10.10.5.10","10.10.5.12","TCP","54","1292  >  49204 [ACK] Seq=31 Ack=13465 Win=501 Len=0"
"51","31.350613253","10.10.5.10","10.10.5.12","TCP","69","1292  >  49204 [PSH, ACK] Seq=31 Ack=13465 Win=501 Len=15"
"52","31.542919199","10.10.5.12","10.10.5.10","TCP","60","49204  >  1292 [ACK] Seq=13465 Ack=46 Win=256 Len=0"
"53","34.456657857","PcsCompu_60:73:28","Broadcast","ARP","60","Who has 10.10.5.13? Tell 10.10.5.11"
"54","34.456658389","PcsCompu_60:73:28","Broadcast","ARP","60","Who has 10.10.5.14? Tell 10.10.5.11"
"55","34.456790961","PcsCompu_c8:46:cd","PcsCompu_60:73:28","ARP","60","10.10.5.13 is at 08:00:27:c8:46:cd"
"56","34.456791130","PcsCompu_90:18:5a","PcsCompu_60:73:28","ARP","60","10.10.5.14 is at 08:00:27:90:18:5a"
"57","34.456920957","10.10.5.11","10.10.5.13","TCP","60","49209  >  2869 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"58","34.456921045","10.10.5.11","10.10.5.14","TCP","60","49207  >  2869 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"59","36.826214920","10.10.5.13","10.10.5.10","TCP","4552","49196  >  1293 [PSH, ACK] Seq=9145 Ack=31 Win=256 Len=4498"
"60","36.826270765","10.10.5.10","10.10.5.13","TCP","54","1293  >  49196 [ACK] Seq=31 Ack=13643 Win=501 Len=0"
"61","36.826495353","10.10.5.10","10.10.5.13","TCP","69","1293  >  49196 [PSH, ACK] Seq=31 Ack=13643 Win=501 Len=15"
"62","37.018328554","10.10.5.13","10.10.5.10","TCP","60","49196  >  1293 [ACK] Seq=13643 Ack=46 Win=256 Len=0"
"63","45.021481862","10.10.5.11","10.10.5.10","TCP","4802","49205  >  1291 [PSH, ACK] Seq=15155 Ack=46 Win=256 Len=4748"
"64","45.021543722","10.10.5.10","10.10.5.11","TCP","54","1291  >  49205 [ACK] Seq=46 Ack=19903 Win=501 Len=0"
"65","45.021765023","10.10.5.10","10.10.5.11","TCP","69","1291  >  49205 [PSH, ACK] Seq=46 Ack=19903 Win=501 Len=15"
"66","45.216026005","10.10.5.11","10.10.5.10","TCP","60","49205  >  1291 [ACK] Seq=19903 Ack=61 Win=256 Len=0"
"67","46.121232882","10.10.5.14","10.10.5.10","TCP","4619","49195  >  1294 [PSH, ACK] Seq=13927 Ack=46 Win=256 Len=4565"
"68","46.121281818","10.10.5.10","10.10.5.14","TCP","54","1294  >  49195 [ACK] Seq=46 Ack=18492 Win=501 Len=0"
"69","46.121488598","10.10.5.10","10.10.5.14","TCP","69","1294  >  49195 [PSH, ACK] Seq=46 Ack=18492 Win=501 Len=15"
"70","46.317102245","10.10.5.14","10.10.5.10","TCP","60","49195  >  1294 [ACK] Seq=18492 Ack=61 Win=256 Len=0"
"71","46.355309520","10.10.5.12","10.10.5.10","TCP","4539","49204  >  1292 [PSH, ACK] Seq=13465 Ack=46 Win=256 Len=4485"
"72","46.355367550","10.10.5.10","10.10.5.12","TCP","54","1292  >  49204 [ACK] Seq=46 Ack=17950 Win=501 Len=0"
"73","46.355591318","10.10.5.10","10.10.5.12","TCP","69","1292  >  49204 [PSH, ACK] Seq=46 Ack=17950 Win=501 Len=15"
"74","46.548825109","10.10.5.12","10.10.5.10","TCP","60","49204  >  1292 [ACK] Seq=17950 Ack=61 Win=256 Len=0"
"75","50.630943745","PcsCompu_90:18:5a","PcsCompu_df:63:fa","ARP","60","Who has 10.10.5.10? Tell 10.10.5.14"
"76","50.630958989","PcsCompu_df:63:fa","PcsCompu_90:18:5a","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa"
"77","51.833248883","10.10.5.13","10.10.5.10","TCP","4548","49196  >  1293 [PSH, ACK] Seq=13643 Ack=46 Win=256 Len=4494"
"78","51.833304389","10.10.5.10","10.10.5.13","TCP","54","1293  >  49196 [ACK] Seq=46 Ack=18137 Win=501 Len=0"
"79","51.833508157","10.10.5.10","10.10.5.13","TCP","69","1293  >  49196 [PSH, ACK] Seq=46 Ack=18137 Win=501 Len=15"
